round,node,cpus,driver,team,model,1,2,3
round9,pn120395,10,460.106.00,ARM-UCSD,id-3,1
round9,pn120395,10,460.106.00,ICSI-2,id-3,
round9,pn120395,10,460.106.00,ICSI-UMD,id-3,0.18625320827150155,0.18625320827150155,0.18625320827150155
round9,pn120395,10,460.106.00,Perspecta-IUB,id-3,0.744097803927025,0.6392835309377389,0.309932386043977
round9,pn120395,10,460.106.00,Perspecta-PurdueRutgers,id-3,0.1,
round9,pn120395,10,460.106.00,PL-GIFT,id-3,0.16040563188095594,0.16040563188095594,0.16040563188095594
round9,pn120395,10,460.106.00,TrinitySRITrojAI,id-3,0.1940370500087738,0.1940370500087738,0.1940370500087738
round9,pn120395,10,460.106.00,TrinitySRITrojAI-BostonU,id-3,0.35357969999313354,0.40970778465270996,0.30360928177833557
round9,pn120395,10,460.106.00,TrinitySRITrojAI-SBU,id-3,0.2255079746246338,0.22509804368019104,0.234328031539917
round9,pn120395,10,460.106.00,trojai-example,id-3,,
round9,pn120395,10,470.129.06,ARM-UCSD,id-3,1,1,1
round9,pn120395,10,470.129.06,ICSI-UMD,id-3,0.18625320827150155,0.18625320827150155,0.18625320827150155
round9,pn120395,10,470.129.06,Perspecta-IUB,id-3,0.739012348,0.09671213553915914,0.09679823645141317
round9,pn120395,10,470.129.06,Perspecta-PurdueRutgers,id-3,0.1,0.1,0.1
round9,pn120395,10,470.129.06,PL-GIFT,id-3,0.160405632,0.16040563188095594,0.14489993581854851
round9,pn120395,10,470.129.06,TrinitySRITrojAI,id-3,0.19403705,0.1940370500087738,0.1940370500087738
round9,pn120395,10,470.129.06,TrinitySRITrojAI-BostonU,id-3,0.534386992,0.42748793959617615,0.40595194697380066
round9,pn120395,10,470.129.06,TrinitySRITrojAI-SBU,id-3,0.219363824,0.23352377116680145,0.23487211763858795
round9,pn120395,10,495.29.05,ARM-UCSD,id-3,1,1,1
round9,pn120395,10,495.29.05,ICSI-UMD,id-3,0.18625320827150155,0.18625320827150155,0.18625320827150155
round9,pn120395,10,495.29.05,Perspecta-IUB,id-3,0.7439965071936975,0.7434862177024758,0.0967940993026759
round9,pn120395,10,495.29.05,Perspecta-PurdueRutgers,id-3,0.1,0.1,0.1
round9,pn120395,10,495.29.05,PL-GIFT,id-3,0.16040563188095594,0.14489993581854851,0.16040563188095594
round9,pn120395,10,495.29.05,TrinitySRITrojAI,id-3,0.1940370500087738,0.1940370500087738,0.1940370500087738
round9,pn120395,10,495.29.05,TrinitySRITrojAI-BostonU,id-3,0.5229567885398865,0.28849953413009644,0.4931448996067047    
round9,pn120395,10,495.29.05,TrinitySRITrojAI-SBU,id-3,0.21286135911941528,0.2141503244638443,0.24307894706726074
round9,pn120395,10,510.73.08,ARM-UCSD,id-3,1,1,1
round9,pn120395,10,510.73.08,ICSI-UMD,id-3,0.18625320827150155,0.18625320827150155,0.18625320827150155
round9,pn120395,10,510.73.08,Perspecta-IUB,id-3,0.7441174344707117,0.7265830522511622,0.12802286436479784
round9,pn120395,10,510.73.08,Perspecta-PurdueRutgers,id-3,0.1,0.1,0.1
round9,pn120395,10,510.73.08,PL-GIFT,id-3,0.16040563188095594,0.16040563188095594,0.16040563188095594
round9,pn120395,10,510.73.08,TrinitySRITrojAI,id-3,0.1940370500087738,0.1940370500087738,0.1940370500087738
round9,pn120395,10,510.73.08,TrinitySRITrojAI-BostonU,id-3,0.3061613142490387,0170348286628723,0.47012290358543396
round9,pn120395,10,510.73.08,TrinitySRITrojAI-SBU,id-3,0.22846192121505737,0.2433311492204666,0.2229759842157364
round9,pn120395,10,515.43.04,ARM-UCSD,id-3,1,1,1
round9,pn120395,10,515.43.04,ICSI-UMD,id-3,0.18625320827150155,0.18625320827150155,0.18625320827150155
round9,pn120395,10,515.43.04,Perspecta-IUB,id-3,0.09966896463660288,0.7322232451210986,0.7441718117836273
round9,pn120395,10,515.43.04,Perspecta-PurdueRutgers,id-3,0.1,0.1,0.1
round9,pn120395,10,515.43.04,PL-GIFT,id-3,0.14489993581854851,0.16040563188095594,0.16040563188095594
round9,pn120395,10,515.43.04,TrinitySRITrojAI,id-3,0.1940370500087738,0.1940370500087738,0.1940370500087738
round9,pn120395,10,515.43.04,TrinitySRITrojAI-BostonU,id-3,0.45115140080451965,0.3617519438266754,0.3830105662345886    
round9,pn120395,10,515.43.04,TrinitySRITrojAI-SBU,id-3,0.22487521171569824,0.2225484997034073,0.22765478491783142
